forest_perc,elevation_m,years,site,animals_per_km2,lambda_0
16.805192036554217,848.4846260398626,-0,Site 3,7,5.6571428571428575
94.38393388409168,797.1264988183975,-0,Site 2,4,3.8076923076923075
94.34749586507678,775.206901319325,-0.08531759369947102,Site 2,6,3.8076923076923075
12.915897672064602,805.9548714198172,-0,Site 1,5,5.055555555555555
46.801851550117135,867.1265192795545,-0.17063518739894204,Site 2,4,3.8076923076923075
54.99837417155504,820.1647124718875,-0.2559527810984131,Site 2,4,3.8076923076923075
23.889475944451988,805.0089455209672,-0.07237651374681452,Site 3,8,5.6571428571428575
76.05133131146431,794.2545427475125,-0.14475302749362903,Site 3,8,5.6571428571428575
40.52821812219918,927.4894315283746,-0.07492910168366507,Site 1,3,5.055555555555555
85.3548452956602,784.1735956259072,-0.14985820336733013,Site 1,4,5.055555555555555
97.63984894379973,775.2485455479473,-0.21712954124044354,Site 3,5,5.6571428571428575
22.582546109333634,779.0572966914624,-0.2247873050509952,Site 1,8,5.055555555555555
7.497942470945418,760.5424805544317,-0.28950605498725807,Site 3,7,5.6571428571428575
66.18987584952265,763.2987504359335,-0.29971640673466027,Site 1,3,5.055555555555555
38.75495425891131,908.0353810917586,-0.3412703747978841,Site 2,3,3.8076923076923075
15.050144074484706,801.4890640974045,-0.3618825687340726,Site 3,4,5.6571428571428575
48.877323139458895,902.3923264816403,-0.4265879684973551,Site 2,3,3.8076923076923075
35.70625900756568,796.4959675446153,-0.5119055621968261,Site 2,0,3.8076923076923075
13.237200328148901,915.548262745142,-0.37464550841832533,Site 1,1,5.055555555555555
1.0414525400847197,884.3338770326227,-0.5972231558962972,Site 2,6,3.8076923076923075
81.01921444758773,943.0966272950172,-0.4495746101019904,Site 1,2,5.055555555555555
51.42817629966885,897.5035439245403,-0.6825407495957682,Site 2,6,3.8076923076923075
62.719628657214344,894.7164978832006,-0.7678583432952392,Site 2,4,3.8076923076923075
66.72256477177143,908.2618223968893,-0.5245037117856555,Site 1,4,5.055555555555555
15.046975202858448,765.487538697198,-0.8531759369947102,Site 2,4,3.8076923076923075
98.1727862264961,861.9290007743984,-0.5994328134693205,Site 1,8,5.055555555555555
16.320087178610265,901.2344500049949,-0.43425908248088707,Site 3,9,5.6571428571428575
94.40418081358075,881.6986136138439,-0.5066355962277016,Site 3,10,5.6571428571428575
97.46878976002336,861.3402985967696,-0.5790121099745161,Site 3,1,5.6571428571428575
50.19698808901012,841.7455810587853,-0.9384935306941812,Site 2,2,3.8076923076923075
81.03972626850009,949.6467433404177,-0.6513886237213307,Site 3,7,5.6571428571428575
68.34034228231758,920.2001043595374,-1.0238111243936523,Site 2,4,3.8076923076923075
92.97202217858285,892.5693298690021,-0.6743619151529856,Site 1,4,5.055555555555555
81.18596954736859,758.4723677486181,-0.7492910168366507,Site 1,6,5.055555555555555
77.00278565753251,753.8799450267106,-0.7237651374681452,Site 3,6,5.6571428571428575
26.030003535561264,807.6550347264856,-1.1091287180931233,Site 2,1,3.8076923076923075
43.74880020041019,868.9152454026043,-1.1944463117925943,Site 2,2,3.8076923076923075
27.57010266650468,810.6071991845965,-0.8242201185203157,Site 1,4,5.055555555555555
